Track Name,Album Name,Duration (ms),Explicit,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
All Too Well (10 Minute Version) (The Short Film),All Too Well (10 Minute Version) (The Short Film),302266,TRUE,0.625,0.515,0.323,0.0000353,0.0764,-10.202,0.0281,93.021,0.193
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),301221,TRUE,0.631,0.518,0.274,0,0.088,-8.771,0.0303,93.023,0.205
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,299203,TRUE,0.585,0.286,0.838,0,0.115,-10.123,0.0312,93.009,0.189
Dear John (Taylor's Version),Speak Now (Taylor's Version),299080,FALSE,0.379,0.468,0.0327,0,0.158,-5.07,0.0298,119.447,0.115
Dear John - Live/2011,Speak Now World Tour Live,298293,FALSE,0.521,0.386,0.0157,0,0.884,-8.784,0.0301,119.518,0.138
Dear John,Speak Now,297013,FALSE,0.583,0.468,0.183,0.00000165,0.111,-5.378,0.0278,119.375,0.126
Enchanted - Live/2011,Speak Now World Tour Live,296013,FALSE,0.34,0.663,0.0747,0.00000234,0.563,-5.597,0.0331,163.678,0.214
Long Live - Live/2011,Speak Now World Tour Live,295413,FALSE,0.544,0.728,0.0053,0,0.865,-5.838,0.0282,101.939,0.204
Last Kiss (Taylor's Version),Speak Now (Taylor's Version),369120,FALSE,0.557,0.362,0.443,0.00000357,0.1,-8.641,0.0263,79.573,0.187
Last Kiss - Live/2011,Speak Now World Tour Live,369066,FALSE,0.427,0.395,0.205,0.00000873,0.701,-12.551,0.0291,79.517,0.188
Last Kiss,Speak Now,367146,FALSE,0.359,0.329,0.581,0.0000375,0.0979,-9.531,0.0293,84.358,0.208
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,362826,FALSE,0.374,0.516,0.155,0,0.795,-8.745,0.0294,142.057,0.171
Love Story - Digital Dog Remix,Love Story (Digital Dog Remix),358573,FALSE,0.729,0.637,0.0126,0.0326,0.0908,-5.796,0.0384,128.017,0.508
Enchanted,reputation Stadium Tour Surprise Song Playlist,353253,FALSE,0.536,0.629,0.0707,0.00117,0.158,-3.907,0.0275,81.963,0.222
Better Than Revenge - Live/2011,Speak Now World Tour Live,344573,FALSE,0.445,0.887,0.00306,0.0000267,0.931,-5.629,0.0768,145.954,0.386
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,340428,TRUE,0.521,0.72,0.384,0,0.135,-7.684,0.104,79.943,0.438
Sparks Fly - Live/2011,Speak Now World Tour Live,336826,FALSE,0.455,0.783,0.00917,0,0.918,-5.184,0.0393,114.981,0.298
Who's Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,334084,FALSE,0.606,0.338,0.315,0,0.106,-10.555,0.048,119.88,0.238
All Too Well,Red,327893,FALSE,0.602,0.609,0.0382,0.0002,0.127,-7.803,0.0243,93.06,0.337
State Of Grace - Acoustic,Red (Deluxe Edition),323080,FALSE,0.626,0.118,0.664,0.000169,0.127,-15.91,0.0305,105.597,0.0682
State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),321640,FALSE,0.445,0.131,0.663,0.00000157,0.108,-13.778,0.0564,208.918,0.101
Timeless (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),321396,FALSE,0.629,0.578,0.332,0,0.0868,-5.806,0.0319,142.887,0.651
Long Live,Speak Now,317960,FALSE,0.412,0.682,0.0426,0.0000747,0.106,-4.319,0.0339,203.959,0.146
Drops Of Jupiter - Live/2011,Speak Now World Tour Live,315173,FALSE,0.374,0.504,0.806,0,0.76,-8.407,0.0392,109.025,0.27
happiness,evermore (deluxe version),315146,TRUE,0.559,0.334,0.87,0,0.114,-10.733,0.0376,122.079,0.211
betty - Live from the 2020 Academy of Country Music Awards,betty (Live from the 2020 Academy of Country Music Awards),312138,FALSE,0.452,0.441,0.685,0,0.128,-4.956,0.0258,88.668,0.497
Untouchable (Taylor's Version),Fearless (Taylor's Version),312107,FALSE,0.393,0.531,0.0181,0,0.169,-6.112,0.0329,200.391,0.224
Foolish One (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),311765,FALSE,0.672,0.613,0.599,0,0.112,-4.709,0.0298,97.041,0.557
Untouchable,Fearless (Platinum Edition),311040,FALSE,0.419,0.454,0.0583,0.00000378,0.0974,-6.809,0.0335,200.017,0.288
Castles Crumbling (feat. Hayley Williams) (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),306062,FALSE,0.578,0.565,0.342,0,0.0662,-8.064,0.0441,147.781,0.351
evermore (feat. Bon Iver),evermore (deluxe version),304106,FALSE,0.39,0.27,0.937,0.00227,0.111,-10.673,0.0308,125.177,0.32
Innocent,Speak Now,302266,FALSE,0.553,0.604,0.202,0,0.125,-5.295,0.0258,133.989,0.186
Innocent (Taylor's Version),Speak Now (Taylor's Version),301221,FALSE,0.524,0.611,0.0972,0,0.127,-5.298,0.0297,133.583,0.126
Anti-Hero - Roosevelt Remix,Anti-Hero (Remixes),299203,FALSE,0.714,0.724,0.291,0.000308,0.153,-6.803,0.0357,110.989,0.811
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),Red (Taylor's Version),299080,FALSE,0.502,0.534,0.0399,0,0.0977,-5.954,0.0278,94.05,0.155
The Last Time,Red,298293,FALSE,0.505,0.443,0.035,0.00000315,0.0921,-7.039,0.0276,94.069,0.123
Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),297013,FALSE,0.473,0.579,0.214,0,0.0877,-5.824,0.0384,73.942,0.255
Cornelia Street - Live From Paris,Cornelia Street (Live From Paris),296013,FALSE,0.502,0.462,0.578,0,0.721,-7.526,0.0265,97.085,0.304
State Of Grace (Taylor's Version),Red (Taylor's Version),295413,FALSE,0.594,0.713,0.000328,0,0.114,-5.314,0.0503,129.958,0.328
State Of Grace,Red,295186,FALSE,0.588,0.825,0.000197,0.00138,0.0885,-5.882,0.0328,129.968,0.397
my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],295173,FALSE,0.531,0.172,0.946,0.0000101,0.0615,-12.34,0.0351,129.007,0.168
betty,folklore,294521,TRUE,0.593,0.377,0.6,0,0.0976,-8.761,0.0253,95.939,0.502
Fifteen (Taylor's Version),Fearless (Taylor's Version),294419,FALSE,0.559,0.646,0.116,0,0.32,-4.61,0.0272,95.466,0.289
Fifteen,Fearless (International Version),294306,FALSE,0.555,0.648,0.072,0,0.143,-4.419,0.027,95.431,0.207
Back To December (Taylor's Version),Speak Now (Taylor's Version),294189,FALSE,0.486,0.635,0.00705,0,0.119,-3.994,0.0278,141.868,0.235
Daylight,Lover,293453,FALSE,0.557,0.496,0.808,0.000173,0.0772,-9.602,0.0563,149.983,0.265
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,293048,TRUE,0.604,0.428,0.0483,0,0.126,-8.441,0.0255,110.259,0.292
Back To December,Speak Now,293040,FALSE,0.517,0.606,0.0202,0,0.324,-5.797,0.0289,141.929,0.296
Never Grow Up,reputation Stadium Tour Surprise Song Playlist,292920,FALSE,0.714,0.309,0.824,0,0.136,-8.828,0.0302,124.892,0.546
Back To December - Acoustic,Speak Now (Deluxe Package),292533,FALSE,0.541,0.451,0.731,0,0.197,-6.522,0.027,141.713,0.333
Haunted - Live/2011,Speak Now World Tour Live,292426,FALSE,0.338,0.818,0.0245,0,0.889,-7.495,0.0496,162.157,0.177
The Story Of Us - Live,Speak Now World Tour Live,290520,FALSE,0.419,0.908,0.00048,0,0.815,-5.156,0.0651,139.813,0.472
betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],290040,TRUE,0.538,0.316,0.841,0,0.119,-9.5,0.0299,95.68,0.518
epiphany,folklore,289749,FALSE,0.175,0.267,0.731,0.000402,0.0858,-13.69,0.0302,94.203,0.106
Cornelia Street,Lover,287266,FALSE,0.824,0.624,0.781,0.000189,0.1,-9.728,0.0827,102.012,0.248
The Moment I Knew,Red (Deluxe Edition),286613,FALSE,0.619,0.506,0.187,0.0000147,0.101,-7.327,0.0315,126.03,0.274
exile (feat. Bon Iver),folklore,285634,FALSE,0.298,0.38,0.778,0.0000562,0.11,-8.426,0.0287,75.602,0.152
The Moment I Knew (Taylor's Version),Red (Taylor's Version),285280,FALSE,0.636,0.402,0.0494,0,0.107,-7.855,0.031,125.952,0.208
I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),Red (Taylor's Version),285106,TRUE,0.391,0.715,0.167,0,0.183,-4.516,0.0495,149.654,0.473
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),284773,FALSE,0.601,0.406,0.622,0.0000919,0.133,-11.827,0.0275,130.059,0.232
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,283957,FALSE,0.342,0.376,0.805,0,0.0593,-8.212,0.0372,176.859,0.29
Sad Beautiful Tragic,Red,283680,FALSE,0.624,0.34,0.632,0.0337,0.121,-12.411,0.029,129.987,0.261
exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],279893,FALSE,0.359,0.305,0.848,0.0000674,0.111,-10.295,0.0306,151.956,0.108
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],279833,FALSE,0.632,0.539,0.0684,0.00000582,0.132,-8.375,0.0342,109.962,0.186
Change (Taylor's Version),Fearless (Taylor's Version),279359,FALSE,0.499,0.815,0.000191,0,0.181,-4.063,0.0341,95.999,0.344
Change,Fearless (International Version),278546,FALSE,0.545,0.747,0.00465,0,0.115,-4.231,0.037,96.017,0.214
You're Losing Me (From The Vault),You're Losing Me (From The Vault),277831,FALSE,0.744,0.396,0.509,0.00319,0.121,-13.712,0.057,102.969,0.18
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Fearless (Taylor's Version),277591,FALSE,0.66,0.817,0.162,0,0.0667,-6.269,0.0521,135.942,0.714
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,277156,TRUE,0.423,0.272,0.858,0,0.108,-12.56,0.0489,78.539,0.195
Superman,Speak Now (Deluxe Package),276266,FALSE,0.582,0.817,0.0187,0.00000194,0.101,-3.718,0.0337,131.983,0.547
coney island (feat. The National),evermore (deluxe version),275320,FALSE,0.537,0.537,0.819,0.000904,0.142,-11.266,0.0617,107.895,0.292
cowboy like me,evermore (deluxe version),275040,TRUE,0.604,0.517,0.768,0.000155,0.123,-9.014,0.0347,127.967,0.511
Superman (Taylor's Version),Speak Now (Taylor's Version),274945,FALSE,0.537,0.733,0.00207,0,0.11,-3.506,0.0302,131.898,0.347
epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],274880,FALSE,0.524,0.2,0.916,0.000392,0.068,-13.004,0.0274,93.87,0.113
I Can See You (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),273186,FALSE,0.695,0.768,0.0577,0,0.0426,-4.883,0.0344,123.054,0.813
Clean,1989 (Deluxe),271000,FALSE,0.815,0.377,0.232,0,0.1,-7.754,0.0346,103.97,0.211
Anti-Hero - ILLENIUM Remix,Anti-Hero (ILLENIUM Remix),267960,FALSE,0.606,0.712,0.17,0.000152,0.34,-4.946,0.0428,97.01,0.383
Forever & Always (Piano Version) (Taylor's Version),Fearless (Taylor's Version),267833,FALSE,0.546,0.273,0.819,0,0.137,-9.208,0.0308,118.753,0.271
The Story Of Us,reputation Stadium Tour Surprise Song Playlist,267653,FALSE,0.547,0.807,0.00556,0.000318,0.0588,-3.63,0.0398,139.911,0.645
Forever & Always - Piano Version,Fearless (Platinum Edition),267506,FALSE,0.592,0.16,0.852,0,0.116,-10.785,0.0347,118.929,0.294
You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],267389,FALSE,0.554,0.509,0.572,0.00000208,0.113,-9.403,0.0455,85.079,0.401
You Are In Love,1989 (Deluxe),267106,FALSE,0.474,0.48,0.707,0.000108,0.0903,-8.894,0.0622,170.109,0.319
Electric Touch (feat. Fall Out Boy) (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),266466,FALSE,0.547,0.854,0.018,0,0.156,-4.753,0.0526,131.068,0.26
Ronan,Ronan,265306,FALSE,0.565,0.255,0.646,0,0.127,-10.152,0.0314,57.964,0.174
Carolina - From The Motion Picture 'Where The Crawdads Sing',"Carolina (From The Motion Picture ""Where The Crawdads Sing"")",264438,FALSE,0.476,0.189,0.904,0.00000452,0.254,-13.777,0.0329,115.851,0.324
Ronan (Taylor's Version),Red (Taylor's Version),264253,FALSE,0.623,0.279,0.661,0,0.193,-10.802,0.031,116.04,0.38
Superstar (Taylor's Version),Fearless (Taylor's Version),263865,FALSE,0.454,0.555,0.157,0,0.343,-6.69,0.0283,171.862,0.171
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,263817,TRUE,0.609,0.541,0.609,0,0.122,-8.013,0.0346,95.997,0.252
Breathe,Fearless (International Version),263720,FALSE,0.488,0.472,0.389,0,0.125,-7.39,0.0275,147.926,0.163
Better Man,reputation Stadium Tour Surprise Song Playlist,263613,FALSE,0.503,0.844,0.121,0,0.0974,-3.648,0.0379,143.941,0.508
Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),263533,FALSE,0.611,0.552,0.256,0,0.134,-5.828,0.031,116.012,0.41
Breathe (feat. Colbie Caillat) (Taylor's Version),Fearless (Taylor's Version),263377,FALSE,0.506,0.626,0.156,0,0.228,-6.066,0.0287,148.035,0.321
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,262974,FALSE,0.423,0.533,0.73,0.00264,0.0816,-11.388,0.322,160.218,0.248
Sparks Fly,reputation Stadium Tour Surprise Song Playlist,262920,FALSE,0.61,0.782,0.041,0,0.16,-2.98,0.0309,114.974,0.399
You're Not Sorry - CSI Remix,You're Not Sorry (CSI Remix),262440,FALSE,0.601,0.744,0.0516,0.0111,0.117,-5.269,0.0369,133.95,0.484
Daylight - Live From Paris,Daylight (Live From Paris),262320,FALSE,0.49,0.228,0.794,0,0.733,-10.504,0.0361,75.858,0.217
august,folklore,261922,FALSE,0.532,0.623,0.538,0.0000728,0.0925,-9.208,0.0331,89.937,0.403
You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),261842,FALSE,0.506,0.444,0.0538,0,0.123,-4.99,0.0285,133.873,0.241
You're Not Sorry,Fearless (Platinum Edition),261800,FALSE,0.459,0.459,0.13,0.0000023,0.113,-4.126,0.0275,134.018,0.281
SuperStar,Fearless (Platinum Edition),261453,FALSE,0.61,0.531,0.367,0,0.351,-6.123,0.0239,85.979,0.228
Sparks Fly (Taylor's Version),Speak Now (Taylor's Version),261230,FALSE,0.605,0.769,0.0241,0,0.0936,-2.413,0.032,114.921,0.366
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,261228,TRUE,0.541,0.366,0.56,0.000001,0.0946,-10.412,0.0748,159.707,0.168
ivy,evermore (deluxe version),260440,TRUE,0.515,0.545,0.855,0.0000197,0.0921,-9.277,0.0353,88.856,0.535
"Would've, Could've, Should've",Midnights (The Til Dawn Edition),260361,FALSE,0.485,0.846,0.393,0.00115,0.124,-6.557,0.117,157.918,0.548
august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],260000,FALSE,0.554,0.663,0.5,0.0000477,0.791,-8.961,0.0324,89.977,0.545
Mine - Live/2011,Speak Now World Tour Live,259279,FALSE,0.496,0.852,0.00233,0,0.554,-4.775,0.0373,120.969,0.442
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Red (Taylor's Version),258812,FALSE,0.606,0.377,0.817,0,0.154,-9.455,0.0275,101.96,0.446
Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,258487,FALSE,0.243,0.712,0.156,0,0.111,-4.307,0.0577,202.319,0.273
marjorie,evermore (deluxe version),257773,FALSE,0.535,0.561,0.876,0.000136,0.115,-11.609,0.0484,96.103,0.287
invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],257359,FALSE,0.59,0.282,0.942,0.00000485,0.11,-10.542,0.0281,83.438,0.351
Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),256124,TRUE,0.663,0.321,0.701,0.000598,0.107,-13.527,0.0409,110.021,0.153
my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],255893,FALSE,0.456,0.265,0.814,0,0.0679,-10.663,0.0328,129.947,0.112
Hey Stephen,Fearless (International Version),254680,FALSE,0.843,0.543,0.174,0.00000387,0.0968,-7.364,0.0317,116,0.826
